Bulgarian,English
да,Yes
е,it
не,no
и,and
на,on
си,its
за,for
ще,will
че,that
това,this
ли,whether
в,in
ти,you
от,from
ми,me
с,with
какво,what
го,it
съм,be
но,but
аз,I
те,they
трябва,must
добре,well
ме,me
са,are
няма,there is no
може,can
ако,if
тук,here
така,so
а,a
като,as
много,many
той,he
по,on
има,have
беше,it was
нещо,thing
му,him
как,as
защо,why
ни,no
я,it
знам,know
само,only
всичко,everything
мен,me
сега,now
теб,you
тя,she
което,where
искам,want
мога,can
още,more
когато,when
до,to
този,that
просто,just
сте,you are
или,or
къде,where
би,would
тази,this one
всички,all
благодаря,thanks
нали,right
сме,be
нищо,nothing
толкова,so much
един,one
защото,for
след,after
там,there
време,time
който,who
искаш,want
мисля,think
кой,who
малко,a little
имам,have
преди,before
хайде,Come on
вече,already
тези,those
моля,please
о,o
някой,somebody
каза,said
него,him
наистина,really
ние,we
вие,you
които,who
й,her
повече,more
съжалявам,regret
тогава,then
точно,precisely
става,become
все,all
можеш,you can
една,one
имаш,you have
към,on
без,without
колко,how much
кажа,say
никога,never
при,at
човек,person
работа,work
им,them
ден,day
едно,one
бях,I have been
бъде,be
през,through
ето,here
значи,mean
със,with
дори,even
хора,people
път,road
както,as
нас,us
г-н,Mr.
години,years
бил,Bill
баща,father
правиш,do
която,which
разбира,understand
също,also
мислиш,you think
вас,you
ами,well
нея,her
направи,do
винаги,always
докато,while
имаме,we have
виж,see
всеки,each
иска,want
майка,mother
казах,said
нека,let
хората,the people
хей,hey
жена,woman
видя,see
дали,whether
във,in
никой,no one
пак,again
тях,them
направя,make
неща,things
кажи,say
място,place
заради,for
прави,do
сър,sir
можем,can
дяволите,devils
изглежда,seems
днес,today
кажеш,say
живота,life
трябваше,I had to
отново,again
татко,father
няколко,a few
наред,well
боже,gosh
друг,another
здравей,hello
затова,therefore
бих,would
доста,pretty
обичам,love
пари,money
знае,knows
начин,way
моя,my
мислех,thought
по-добре,better
нужда,need
сам,alone
две,two
дойде,came
заедно,together
добър,good
ела,fir
нямам,do not
приятел,friend
после,afterwards
видим,visible
правя,do
вечер,in the evening
достатъчно,enough
всъщност,actually
исках,I wanted
проблем,issue
живот,life
нещата,things
под,under
каквото,whatever
говори,talk
сигурно,securely
чакай,wait
веднага,immediately
ей,hey
три,three
какъв,what
казва,He says
стана,become
утре,tomorrow
дай,Give
добро,good
знаете,you know
говоря,speak
била,has been
предвид,given
казвам,say
имате,you have
себе,self
момиче,girl
мамо,mom
стане,become
харесва,like
случи,happened
нощ,night
било,ridge
работата,work
каква,what
говориш,you speak
бе,it was
сигурен,secure
искате,you want
скъпа,darling
пред,in front of
били,Billy
между,between
друго,something else
моята,mine
част,part
стига,enough
направим,make
имаше,there was
освен,besides
мой,my
двамата,the two
кога,when
бяха,they were
върна,returned
някои,some
мъж,man
момчета,boys
бързо,quickly
където,where
извинете,excuse
името,name
виждам,see
у,y
бъда,be
парите,the money
видях,I have seen
хубаво,OK
скоро,soon
помогна,helped
остави,leave
дни,days
поне,at least
такъв,such
здрасти,Hello
два,two
брат,brother
добра,good
ясно,clearly
знаех,I knew
деца,children
взема,take
то,so
около,around
момче,boy
щом,as soon as
приятели,friends
времето,time
минути,minutes
правим,make
колкото,as much as
първо,first
други,other
спри,Stop
страна,side
работи,work
помощ,assistance
могат,can
нито,nor
върви,go
господи,Lord
твоя,your
предполагам,suppose
момент,moment
направил,made
чудесно,great
година,year
здравейте,Hello
знаем,know
срещу,against
можете,you can
главата,head
случай,case
имат,have
кажете,say
вътре,inside
къщата,the house
твърде,too
трудно,hard
дома,home
пъти,times
дете,kid
значение,importance
означава,means
почти,almost
идея,idea
име,name
света,world
д-р,drill
човече,man
дъщеря,daughter
децата,the children
такива,such
въпрос,question
върху,on
мамка,shit
голяма,large
казваш,you say
страхотно,great
момента,moment
давай,come on
вероятно,probably
говорим,talk
прав,straight
вкъщи,at home
веднъж,once
истината,the truth
сериозно,seriously
всяка,each
кого,whom
идва,comes
откъде,where
щеше,would
вървим,go
май,May
надявам,hope
такова,such
виждаш,you see
отида,go
семейството,the family
обади,call
сестра,sister
мама,mom
мисли,think
вземи,take
над,over
направих,I have done
искаше,He wanted
чувствам,feel
каже,say
възможно,possibly
де,de
полицията,police
свят,holy
среща,meeting
моят,my
земята,The Earth
напълно,completely
намери,find
лошо,badly
вярно,faithfully
даде,gave
извинявай,sorry
седмица,week
видиш,you see
чух,I heard
слушай,listen
искал,like
бог,God
голям,large
казал,said
дам,give
твоята,yours
час,hour
града,town
сигурна,secure
тръгваме,we are leaving
коя,who
всичките,all
готов,ready
странно,strangely
някога,sometime
пък,and
вратата,door
цялата,all
сякаш,as if
свърши,over
училище,school
по-късно,later
искат,want
моето,my
поговорим,talk
такава,such
семейство,family
смъртта,death
сама,alone
ръцете,arms
разбираш,you understand
имах,I had
вярвам,believe
бяхме,We were
син,son
очите,eyes
телефона,the phone
другите,the others
нямаш,you have no
скъпи,dear
моите,mine
вижте,look
сърцето,heart
мястото,place
бъдеш,be
зад,behind
щях,I would
разбрах,understood
джон,John
месеца,months
проблеми,problems
според,according to
пет,five
мислите,you think
прекалено,too much
кола,car
двама,two
погледни,look at
намеря,find
правят,do
дълго,long
някъде,somewhere
г,it
някакъв,some
цялото,all
лесно,easily
виждал,see
звучи,sounds
оттук,from here
край,end
любов,love
онзи,that
дума,word
чао,bye
кое,which
обратно,backwardly
познавам,know
струва,worth
шанс,chance
някого,somewhat
отколкото,than
друга,other
нашата,ours
история,story
пътя,road
отиде,went
вода,water
същото,the same
спокойно,calmly
получи,obtained
джак,Jack
случило,happening
ало,allo
помогне,help
долара,dollars
тялото,the body
правите,you make
стаята,the room
право,right
късно,late
долу,down
нашите,ours
превод,translation
причина,reason
бъдат,be
стая,room
къща,house
остана,stay
затвора,prison
отидем,We go
намерим,find
супер,super
номер,number
важно,important
края,end
изглеждаш,you look like
ужасно,terribly
започна,started
приятно,pleasantly
помниш,remember
искаме,we want
цял,whole
отивам,go
съвсем,quite
някаква,any
живее,lives
тръгвам,go
нямаме,we have no
бъди,be
въпреки,although
убие,kill
идвам,come
глупости,crap
стой,stand
казват,say
изобщо,at all
лицето,face
повярвам,believe
види,see
нов,new
разбра,understood
трябвало,should have
целия,all
дойда,come
готови,ready
седмици,weeks
работя,work
първи,first
що,what
снощи,last night
дойдеш,you come
кръв,blood
далеч,away
недей,do not
пука,dough
добри,good
права,right
зле,badly
момичета,girls
опитвам,try
двете,the two
жени,female
явно,apparently
истински,real
мъже,men
сигурност,security
лека,light
обича,loves
информация,information
върне,return
сутрин,in the morning
правилно,correct
дръж,hold
късмет,lucky
сутринта,in the morning
току-що,right now
малка,small
страх,fear
обичаш,you love
мина,mine
навън,outward
знаят,they know
сина,son
можеше,could have
четири,four
случва,happening
станало,becoming
човека,man
общо,generally
иначе,otherwise
утро,morning
г-жо,lady
нова,new
родителите,the parents
когото,whom
грешка,mistake
пусни,release
горе,above
насам,thither
ръката,hand
агент,agent
храна,food
нужно,necessary
чичо,uncle
секс,sex
малък,small
харесвам,like
избор,choice
имал,had
убия,kill
определено,definitely
никого,no one
очевидно,apparently
оставя,leave
намерих,found
разбера,understand
град,town
ню,New
близо,close
господа,gentlemen
вчера,yesterday
можех,I could have
едва,barely
направо,straight
детето,child
забрави,forget
вечеря,dinner
цяла,whole
ок,ok
убил,killed
дошъл,coming
вместо,instead
онази,that
гледам,look
отвори,openings
хареса,liked
историята,history
игра,play
познаваш,you know
първата,first
любовта,love
дом,home
браво,Well done
план,plan
тръгна,set off
гледай,watch
особено,especially
твоите,yours
момичето,the girl
готова,ready
дойдох,I came
смисъл,meaning
истина,truth
някакви,some
забавно,funny
взе,took
майкъл,Michael
представа,idea
отиваш,you go
спрете,stop
кафе,coffee
госпожо,ma'am
излезе,went out
твоето,yours
върнем,return
война,war
дошли,come
чарли,Charlie
съпруга,wife
вид,appearance
ръка,hand
честно,honestly
промени,change
шест,six
умре,died
джо,Joe
дядо,grandfather
последните,the last
животът,life
онова,that
врата,door
ръце,arms
досега,so far
нашия,ours
въпроса,issue
върнеш,you return
казаха,They said
господине,sir
живея,live
внимавай,be careful
навсякъде,everywhere
мразя,hate
смърт,death
хиляди,thousands
бога,God
помислих,I thought
голямо,large
трябват,needed
месец,month
довиждане,goodbye
невероятно,incredibly
красива,beautiful
върни,return
лично,personal
казвай,say
та,in
наоколо,around
вашата,your
ваше,yours
даже,even
назад,backward
приятелка,girlfriend
кара,drive
нощта,night
спаси,Save
извън,out of
довечера,tonight
въпроси,questions
бива,be
възможност,possibility
онези,those
чувстваш,you feel
убийство,murder
луд,crazy
пич,dude
зная,know
напред,forward
другата,the other
бъдем,be
вземем,take
знаеше,he knew
интересува,interested
помня,remember
очи,eyes
тате,daddy
обещавам,promise
ред,order
успокой,reassure
думи,words
тъй,as
помогнеш,you help
отидеш,you go
случая,case
бизнес,business
вземеш,take
тъкмо,just
момчето,the boy
грижа,care
опита,trial
чу,heard
повечето,most
внимание,attention
капитане,captain
тревожи,worry
тип,type
отдавна,long ago
прекрасно,beautifully
често,often
никакви,neither
имало,there were
вземе,take
г-жа,Mrs.
деня,the day
чакам,wait
започва,begins
твой,yours
по-бързо,faster
ама,but
разбере,understand
майк,mike
оръжие,weapon
йорк,York
твоят,your
остане,stay
откакто,since
том,volume
разберем,understand
леглото,the bed
човекът,the man
кои,which
следващия,the next
пише,write
държи,hold
приятелите,friends
всяко,every
чака,waiting
щастлив,happy
някоя,any
сила,force
питам,ask
отиваме,we go
болницата,the hospital
новини,news
боли,hurt
чуй,hear
постоянно,always
работиш,you work
по-малко,less
сара,Sarah
прилича,looks like
използва,used
шефе,boss
води,waters
обикновено,usually
пази,keep
уби,killed
нови,new
франк,Frank
ох,Oh
вашите,your
сами,alone
ново,new
офиса,office
останалите,the rest
бебето,baby
елате,come
коледа,Christmas
чест,honor
синът,the son
реших,I have decided
дами,ladies
играта,the game
задник,ass
престани,stop
идват,come
сложи,put on
жената,the woman
разбереш,you understand
мили,mildly
миналата,last
намериш,find
кажем,say
жените,women's
връщам,return
бъдете,be
големи,large
водата,water
хубава,beautiful
търся,seek
идиот,idiot
направила,made
удоволствие,pleasure
вярваш,you believe
мерси,Mercy
взех,I took
различни,different
единственият,the only
искала,she wanted
решение,answer
филм,movie
капитан,captain
задника,ass
гледаш,you look
дейвид,David
полицай,cop
къщи,houses
търси,seek
слушам,listen
мое,mine
докторе,doctor
рано,early
по-рано,earlier
говорите,you talk
нашият,ours
млъкни,shut up
липсва,missing
носи,carries
накара,caused
вземете,take
оправи,correct
другото,the other
съобщение,message
джордж,George
спре,stop
чувства,feelings
детектив,detective
малки,small
живееш,live
страната,country
седни,sitting
помогни,help
държа,hold
парти,party
милиона,million
тръгвай,go
o,o
своя,its
помисли,think
оправя,fix
казала,said
адвокат,lawyer
видял,see
махни,remove
краката,legs
хенри,Henry
кораб,ship
отива,goes
убиец,killer
куче,dog
г-це,s
остава,remains
първия,the first
могъл,could
десет,ten
видите,you see
убийството,murder
готово,ready
копеле,bastard
помогнете,help
снимки,pictures
появи,appearance
чуваш,you hear
войната,war
проблемът,the problem
майната,fuck
обаче,however
държиш,hold
бихте,you would
махай,remove
бяхте,You were
подобно,like
отговори,replied
дава,give
например,for example
ходя,walk
бен,bin
удари,hits
глупак,stubborn
кръвта,blood
чрез,by
баба,grandmother
секунда,second
последната,the last
места,places
интересно,interested
група,group
оставете,leave
дани,Danny
лош,bad
стар,old
завинаги,forever
първият,first
идваш,you are coming
нашето,ours
джей,Jay
устата,mouth
снимка,photo
опитва,tries
компания,company
чакайте,Wait
бебе,baby
дано,as well
началото,start
абсолютно,absolutely
смешно,ridiculously
мислят,think
справя,tackle
останеш,you stay
питър,Peter
америка,America
дайте,give
мъртва,dead
виновен,guilty
вижда,see
джеймс,James
минута,minute
души,humans
лъжа,lie
секунди,seconds
